Año;Nro_Mes;Mes;Cuenta_de_Ingreso;Importe_Original;Importe_Numerico;Porcentaje_Original;Porcentaje_Numerico
2023;01;Enero;"MAYORISTA";"1.160.702,97";1160702.97;"7.75%";0.0775
2023;01;Enero;"WHATSAPP";"478.804,57";478804.57;"3.19%";0.0319
2023;01;Enero;"CUENTA UNICA";"1.900,00";1900;"0.01%";0.0001
2023;02;Febrero;"MERCADO LIBRE";"7.400.392,53";7400392.53;"57.12%";0.5711999999999999
2023;02;Febrero;"MOSTRADOR";"2.934.501,35";2934501.35;"22.65%";0.22649999999999998
2023;02;Febrero;"INSTAGRAM";"1.653.435,47";1653435.47;"12.76%";0.1276
2023;02;Febrero;"MAYORISTA";"844.956,00";844956;"6.52%";0.0652
2023;02;Febrero;"WHATSAPP";"132.824,33";132824.33;"1.03%";0.0103
2023;02;Febrero;"CUENTA UNICA";"1.000,00";1000;"0.01%";0.0001
2023;02;Febrero;"NOTA CREDITO";"-11.962,30";-11962.3;"-0.09%";-0.0009
2023;03;Marzo;"MERCADO LIBRE";"8.877.974,38";8877974.38;"57.15%";0.5715
2023;03;Marzo;"MOSTRADOR";"2.173.944,46";2173944.46;"13.99%";0.1399
2023;03;Marzo;"INSTAGRAM";"1.991.384,97";1991384.97;"12.82%";0.1282
2023;03;Marzo;"MAYORISTA";"1.313.074,00";1313074;"8.45%";0.08449999999999999
2023;03;Marzo;"WHATSAPP";"702.594,49";702594.49;"4.52%";0.0452
2023;03;Marzo;"CUENTA UNICA";"473.269,00";473269;"3.05%";0.0305
2023;03;Marzo;"NOTA CREDITO";"1.800,00";1800;"0.01%";0.0001
2023;04;Abril;"MERCADO LIBRE";"9.144.021,36";9144021.36;"59.08%";0.5908
2023;04;Abril;"INSTAGRAM";"2.058.576,25";2058576.25;"13.3%";0.133
2023;04;Abril;"MOSTRADOR";"2.041.049,99";2041049.99;"13.19%";0.1319
2023;04;Abril;"MAYORISTA";"1.695.615,00";1695615;"10.96%";0.1096
2023;04;Abril;"WHATSAPP";"536.749,41";536749.41;"3.47%";0.0347
2023;04;Abril;"NOTA CREDITO";"1.700,00";1700;"0.01%";0.0001
2023;05;Mayo;"MERCADO LIBRE";"10.044.975,77";10044975.77;"57.41%";0.5740999999999999
2023;05;Mayo;"INSTAGRAM";"2.803.988,26";2803988.26;"16.03%";0.1603
2023;05;Mayo;"MOSTRADOR";"1.962.501,58";1962501.58;"11.22%";0.11220000000000001
2023;05;Mayo;"MAYORISTA";"1.693.868,00";1693868;"9.68%";0.0968
2023;05;Mayo;"WHATSAPP";"550.646,28";550646.28;"3.15%";0.0315
2023;05;Mayo;"MAYORISTA COSTO";"439.720,00";439720;"2.51%";0.025099999999999997
2023;05;Mayo;"NOTA CREDITO";"600,00";600;"0%";0
2023;06;Junio;"MERCADO LIBRE";"9.910.688,03";9910688.03;"54.95%";0.5495
2023;06;Junio;"INSTAGRAM";"3.142.936,56";3142936.56;"17.43%";0.1743
2023;06;Junio;"MOSTRADOR";"2.279.551,78";2279551.78;"12.64%";0.1264
2023;06;Junio;"MAYORISTA";"2.228.059,00";2228059;"12.35%";0.1235
2023;06;Junio;"WHATSAPP";"425.908,82";425908.82;"2.36%";0.0236
2023;06;Junio;"S/D";"38.235,00";38235;"0.21%";0.0021
2023;06;Junio;"MAYORISTA COSTO";"10.111,61";10111.61;"0.06%";0.0006
2023;07;Julio;"MERCADO LIBRE";"12.254.571,51";12254571.51;"59.26%";0.5926
2023;07;Julio;"INSTAGRAM";"3.444.275,39";3444275.39;"16.65%";0.16649999999999998
2023;07;Julio;"MOSTRADOR";"2.193.927,38";2193927.38;"10.61%";0.1061
2023;07;Julio;"MAYORISTA";"2.016.189,84";2016189.84;"9.75%";0.0975
2023;07;Julio;"WHATSAPP";"770.560,65";770560.65;"3.73%";0.0373
2023;07;Julio;"NOTA CREDITO";"1.500,00";1500;"0.01%";0.0001
2023;08;Agosto;"MERCADO LIBRE";"15.193.009,06";15193009.06;"62.29%";0.6229
2023;08;Agosto;"INSTAGRAM";"4.199.450,30";4199450.3;"17.22%";0.1722
2023;08;Agosto;"MOSTRADOR";"2.799.755,83";2799755.83;"11.48%";0.1148
2023;08;Agosto;"MAYORISTA";"1.523.216,98";1523216.98;"6.25%";0.0625
2023;08;Agosto;"WHATSAPP";"642.230,08";642230.08;"2.63%";0.0263
2023;08;Agosto;"MAYORISTA COSTO";"32.127,71";32127.71;"0.13%";0.0013
2023;09;Septiembre;"MERCADO LIBRE";"14.040.336,11";14040336.11;"58.92%";0.5892000000000001
2023;09;Septiembre;"MOSTRADOR";"3.239.633,90";3239633.9;"13.6%";0.136
2023;09;Septiembre;"MAYORISTA";"3.198.610,00";3198610;"13.42%";0.13419999999999999
2023;09;Septiembre;"INSTAGRAM";"2.615.462,39";2615462.39;"10.98%";0.10980000000000001
2023;09;Septiembre;"WHATSAPP";"735.403,31";735403.31;"3.09%";0.030899999999999997
2023;10;Octubre;"MERCADO LIBRE";"17.295.992,27";17295992.27;"66.85%";0.6685
2023;10;Octubre;"MOSTRADOR";"3.345.766,37";3345766.37;"12.93%";0.1293
2023;10;Octubre;"INSTAGRAM";"2.460.369,58";2460369.58;"9.51%";0.0951
2023;10;Octubre;"MAYORISTA";"1.842.865,00";1842865;"7.12%";0.0712
2023;10;Octubre;"WHATSAPP";"869.220,50";869220.5;"3.36%";0.0336
2023;10;Octubre;"S/D";"59.000,00";59000;"0.23%";0.0023
2023;11;Noviembre;"MERCADO LIBRE";"14.905.413,73";14905413.73;"63.09%";0.6309
2023;11;Noviembre;"MOSTRADOR";"3.242.612,61";3242612.61;"13.72%";0.13720000000000002
2023;11;Noviembre;"INSTAGRAM";"2.227.562,89";2227562.89;"9.43%";0.0943
2023;11;Noviembre;"MAYORISTA";"2.050.832,00";2050832;"8.68%";0.0868
2023;11;Noviembre;"WHATSAPP";"1.133.284,17";1133284.17;"4.8%";0.048
2023;11;Noviembre;"MAYORISTA COSTO";"67.696,80";67696.8;"0.29%";0.0029
2023;12;Diciembre;"MERCADO LIBRE";"18.346.630,64";18346630.64;"68.54%";0.6854
2023;12;Diciembre;"MOSTRADOR";"4.511.484,73";4511484.73;"16.86%";0.1686
2023;12;Diciembre;"INSTAGRAM";"2.642.487,51";2642487.51;"9.87%";0.0987
2023;12;Diciembre;"WHATSAPP";"737.997,00";737997;"2.76%";0.0276
2023;12;Diciembre;"MAYORISTA";"527.674,00";527674;"1.97%";0.0197
2024;01;Enero;"MERCADO LIBRE";"18.635.258,90";18635258.9;"67.29%";0.6729
2024;01;Enero;"MOSTRADOR";"3.718.977,83";3718977.83;"13.43%";0.1343
2024;01;Enero;"INSTAGRAM";"2.710.414,99";2710414.99;"9.79%";0.09789999999999999
2024;01;Enero;"WHATSAPP";"1.336.677,29";1336677.29;"4.83%";0.0483
2024;01;Enero;"MAYORISTA";"1.291.944,00";1291944;"4.67%";0.0467
2024;02;Febrero;"MERCADO LIBRE";"18.080.255,11";18080255.11;"61%";0.61
2024;02;Febrero;"MOSTRADOR";"7.036.630,90";7036630.9;"23.74%";0.23739999999999997
2024;02;Febrero;"INSTAGRAM";"2.639.619,37";2639619.37;"8.91%";0.0891
2024;02;Febrero;"MAYORISTA";"1.105.081,00";1105081;"3.73%";0.0373
2024;02;Febrero;"WHATSAPP";"777.694,00";777694;"2.62%";0.0262
2024;03;Marzo;"MERCADO LIBRE";"25.708.447,19";25708447.19;"67.57%";0.6757
2024;03;Marzo;"MOSTRADOR";"5.041.618,10";5041618.1;"13.25%";0.1325
2024;03;Marzo;"INSTAGRAM";"3.788.323,59";3788323.59;"9.96%";0.09960000000000001
2024;03;Marzo;"MAYORISTA";"2.231.279,00";2231279;"5.86%";0.058600000000000006
2024;03;Marzo;"WHATSAPP";"1.234.552,16";1234552.16;"3.24%";0.032400000000000005
2024;03;Marzo;"S/D";"24.389,00";24389;"0.06%";0.0006
